L4 | Thu Feb  7 13:49:35 2019 (160 ms) | general | Only keeping 20 past recordings
L4 | Thu Feb  7 13:49:35 2019 (160 ms) | general | Removed 0 stale recordings
L4 | Thu Feb  7 13:49:58 2019 (668 ms) | general | Received compressed data with SHA1 = DA580D53A481820BACFF7EA1C073FEE92F7B1576

L2 | Thu Feb  7 13:49:58 2019 (713 ms) | general | gameSDL - clearWebRequest:  Requested WebRequest handle not found

L4 | Thu Feb  7 13:49:58 2019 (713 ms) | general | Relaunching game ./OneLifeApp
L4 | Thu Feb  7 13:49:58 2019 (715 ms) | general | exiting...

L4 | Thu Feb  7 13:49:58 2019 (715 ms) | general | exiting: calling SDL_CloseAudio

L4 | Thu Feb  7 13:49:58 2019 (759 ms) | general | New game starting up
L4 | Thu Feb  7 13:49:58 2019 (759 ms) | general | Target game image size:  1280x720

L4 | Thu Feb  7 13:49:58 2019 (759 ms) | general | Ideal window dimensions:  1280x720

L4 | Thu Feb  7 13:49:58 2019 (759 ms) | general | Trying to start in fullscreen mode.
L4 | Thu Feb  7 13:49:58 2019 (759 ms) | general | The following frame rates are considered possible:
L4 | Thu Feb  7 13:49:58 2019 (759 ms) | general | 30 fps
L4 | Thu Feb  7 13:49:58 2019 (759 ms) | general | 60 fps
L4 | Thu Feb  7 13:49:58 2019 (759 ms) | general | 120 fps
L4 | Thu Feb  7 13:49:58 2019 (759 ms) | general | 144 fps
L4 | Thu Feb  7 13:49:58 2019 (759 ms) | general | Setting real (not borderless) fullscreen mode
L4 | Thu Feb  7 13:49:58 2019 (759 ms) | general | Current screen configuration is 800x600 with aspect ratio 1.33
L4 | Thu Feb  7 13:49:58 2019 (759 ms) | general | Sticking with user's current screen resolution
L4 | Thu Feb  7 13:49:58 2019 (759 ms) | general | Checking if requested video mode (800x600) is available
L4 | Thu Feb  7 13:49:58 2019 (759 ms) | general | Available video modes:
L5 | Thu Feb  7 13:49:58 2019 (759 ms) | general |    2560 x 1600

L5 | Thu Feb  7 13:49:58 2019 (759 ms) | general |    1920 x 1440

L4 | Thu Feb  7 13:49:58 2019 (759 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Thu Feb  7 13:49:58 2019 (759 ms) | general |    1920 x 1200

L5 | Thu Feb  7 13:49:58 2019 (759 ms) | general |    1856 x 1392

L4 | Thu Feb  7 13:49:58 2019 (759 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Thu Feb  7 13:49:58 2019 (759 ms) | general |    1792 x 1344

L4 | Thu Feb  7 13:49:58 2019 (759 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Thu Feb  7 13:49:58 2019 (759 ms) | general |    1680 x 1050

L5 | Thu Feb  7 13:49:58 2019 (759 ms) | general |    1600 x 1200

L4 | Thu Feb  7 13:49:58 2019 (759 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Thu Feb  7 13:49:58 2019 (759 ms) | general |    1440 x 900

L5 | Thu Feb  7 13:49:58 2019 (759 ms) | general |    1400 x 1050

L4 | Thu Feb  7 13:49:58 2019 (759 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Thu Feb  7 13:49:58 2019 (759 ms) | general |    1360 x 768

L5 | Thu Feb  7 13:49:58 2019 (759 ms) | general |    1280 x 1024

L5 | Thu Feb  7 13:49:58 2019 (759 ms) | general |    1280 x 960

L4 | Thu Feb  7 13:49:58 2019 (759 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Thu Feb  7 13:49:58 2019 (759 ms) | general |    1280 x 800

L5 | Thu Feb  7 13:49:58 2019 (759 ms) | general |    1280 x 768

L5 | Thu Feb  7 13:49:58 2019 (759 ms) | general |    1152 x 864

L4 | Thu Feb  7 13:49:58 2019 (759 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Thu Feb  7 13:49:58 2019 (759 ms) | general |    1024 x 768

L4 | Thu Feb  7 13:49:58 2019 (759 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Thu Feb  7 13:49:58 2019 (759 ms) | general |    800 x 600

L4 | Thu Feb  7 13:49:58 2019 (759 ms) | general |    ^^^^ this mode matches current aspect ratio
L4 | Thu Feb  7 13:49:58 2019 (759 ms) | general |    ^^^^ this mode matches requested mode
L5 | Thu Feb  7 13:49:58 2019 (759 ms) | general |    640 x 480

L4 | Thu Feb  7 13:49:58 2019 (759 ms) | general |    ^^^^ this mode matches current aspect ratio
